Run	BioProject	BioSample	ScientificName	pop	Model	LibraryLayout	Sex	ReleaseDate	avgLength	bases	LibraryStrategy
SRR11016037	PRJNA604255	SAMN13961947	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	648914597	RAD-Seq
SRR11016026	PRJNA604255	SAMN13961948	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:37	141	3110575634	RAD-Seq
SRR11016015	PRJNA604255	SAMN13961949	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:35	142	2958200549	RAD-Seq
SRR11016004	PRJNA604255	SAMN13961950	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	839253945	RAD-Seq
SRR11015993	PRJNA604255	SAMN13961951	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:45	146	4774282469	RAD-Seq
SRR11016062	PRJNA604255	SAMN13961962	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	276770300	RAD-Seq
SRR11016051	PRJNA604255	SAMN13961963	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	573603543	RAD-Seq
SRR11016040	PRJNA604255	SAMN13961964	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1207680836	RAD-Seq
SRR11016036	PRJNA604255	SAMN13961965	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	688484983	RAD-Seq
SRR11016035	PRJNA604255	SAMN13961966	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	781569815	RAD-Seq
SRR11016034	PRJNA604255	SAMN13961967	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:51	146	4397071443	RAD-Seq
SRR11016033	PRJNA604255	SAMN13961968	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	651099934	RAD-Seq
SRR11016032	PRJNA604255	SAMN13961969	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:39	146	2812877493	RAD-Seq
SRR11016031	PRJNA604255	SAMN13961970	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:29	101	638502305	RAD-Seq
SRR11016030	PRJNA604255	SAMN13961971	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:29	101	509117164	RAD-Seq
SRR11016029	PRJNA604255	SAMN13961972	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	692296622	RAD-Seq
SRR11016028	PRJNA604255	SAMN13961973	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:29	101	625874881	RAD-Seq
SRR11016027	PRJNA604255	SAMN13961974	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	722111923	RAD-Seq
SRR11016025	PRJNA604255	SAMN13961975	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	580472856	RAD-Seq
SRR11016024	PRJNA604255	SAMN13961976	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	785128146	RAD-Seq
SRR11016023	PRJNA604255	SAMN13961977	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	654799766	RAD-Seq
SRR11016022	PRJNA604255	SAMN13961978	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:29	101	608658320	RAD-Seq
SRR11016021	PRJNA604255	SAMN13961979	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:43	147	4545483007	RAD-Seq
SRR11016020	PRJNA604255	SAMN13961980	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	417405932	RAD-Seq
SRR11016019	PRJNA604255	SAMN13961981	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	468559907	RAD-Seq
SRR11016018	PRJNA604255	SAMN13961982	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	450064787	RAD-Seq
SRR11016017	PRJNA604255	SAMN13961983	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:42	148	5088330537	RAD-Seq
SRR11016016	PRJNA604255	SAMN13961984	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	497033625	RAD-Seq
SRR11016014	PRJNA604255	SAMN13961985	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:29	101	617783771	RAD-Seq
SRR11016013	PRJNA604255	SAMN13961986	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:29	101	534669659	RAD-Seq
SRR11016012	PRJNA604255	SAMN13961987	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	407449453	RAD-Seq
SRR11016011	PRJNA604255	SAMN13961988	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:45	144	5090526096	RAD-Seq
SRR11016010	PRJNA604255	SAMN13961989	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:39	144	5443956810	RAD-Seq
SRR11016009	PRJNA604255	SAMN13961990	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	924074452	RAD-Seq
SRR11016008	PRJNA604255	SAMN13961991	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	541505339	RAD-Seq
SRR11016007	PRJNA604255	SAMN13961992	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	482258133	RAD-Seq
SRR11016006	PRJNA604255	SAMN13961993	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	583433065	RAD-Seq
SRR11016005	PRJNA604255	SAMN13961994	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	1135364331	RAD-Seq
SRR11016003	PRJNA604255	SAMN13961995	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	621165352	RAD-Seq
SRR11016002	PRJNA604255	SAMN13961996	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:45	144	5431106962	RAD-Seq
SRR11016001	PRJNA604255	SAMN13961997	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	783526084	RAD-Seq
SRR11016000	PRJNA604255	SAMN13961998	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	563043690	RAD-Seq
SRR11015999	PRJNA604255	SAMN13961999	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:37	141	2448820162	RAD-Seq
SRR11015998	PRJNA604255	SAMN13962000	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	650172350	RAD-Seq
SRR11015997	PRJNA604255	SAMN13962001	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	713117469	RAD-Seq
SRR11015996	PRJNA604255	SAMN13962002	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	607013737	RAD-Seq
SRR11015995	PRJNA604255	SAMN13962003	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	711066664	RAD-Seq
SRR11015994	PRJNA604255	SAMN13962004	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	798492668	RAD-Seq
SRR11015992	PRJNA604255	SAMN13962005	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	721907398	RAD-Seq
SRR11015991	PRJNA604255	SAMN13962006	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:35	140	3010626288	RAD-Seq
SRR11015990	PRJNA604255	SAMN13962007	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:35	140	2742869467	RAD-Seq
SRR11016152	PRJNA604255	SAMN13962008	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:29	101	476151673	RAD-Seq
SRR11016061	PRJNA604255	SAMN13962115	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	617030614	RAD-Seq
SRR11016060	PRJNA604255	SAMN13962116	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	588778288	RAD-Seq
SRR11016059	PRJNA604255	SAMN13962117	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	764207713	RAD-Seq
SRR11016058	PRJNA604255	SAMN13962118	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:33	101	1187798077	RAD-Seq
SRR11016057	PRJNA604255	SAMN13962119	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:29	101	435425847	RAD-Seq
SRR11016056	PRJNA604255	SAMN13962120	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	906606199	RAD-Seq
SRR11016055	PRJNA604255	SAMN13962121	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1137015681	RAD-Seq
SRR11016054	PRJNA604255	SAMN13962122	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1273045814	RAD-Seq
SRR11016053	PRJNA604255	SAMN13962123	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	677643845	RAD-Seq
SRR11016052	PRJNA604255	SAMN13962124	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	377756564	RAD-Seq
SRR11016050	PRJNA604255	SAMN13962125	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	721541273	RAD-Seq
SRR11016049	PRJNA604255	SAMN13962126	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1308180684	RAD-Seq
SRR11016048	PRJNA604255	SAMN13962127	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1232283628	RAD-Seq
SRR11016047	PRJNA604255	SAMN13962128	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	966153981	RAD-Seq
SRR11016046	PRJNA604255	SAMN13962129	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	1128521177	RAD-Seq
SRR11016045	PRJNA604255	SAMN13962130	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1004548929	RAD-Seq
SRR11016044	PRJNA604255	SAMN13962131	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	929661671	RAD-Seq
SRR11016043	PRJNA604255	SAMN13962132	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	1007548023	RAD-Seq
SRR11016042	PRJNA604255	SAMN13962133	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1075242869	RAD-Seq
SRR11016041	PRJNA604255	SAMN13962134	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:29	101	612698825	RAD-Seq
SRR11016039	PRJNA604255	SAMN13962135	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:29	101	877909170	RAD-Seq
SRR11016038	PRJNA604255	SAMN13962136	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:33	101	856419097	RAD-Seq
SRR11016144	PRJNA604255	SAMN13961952	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:43	142	2924459738	RAD-Seq
SRR11016133	PRJNA604255	SAMN13961953	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:37	141	2939365909	RAD-Seq
SRR11016122	PRJNA604255	SAMN13961954	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:45	145	5659646297	RAD-Seq
SRR11016157	PRJNA604255	SAMN13961957	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:35	143	1761871709	RAD-Seq
SRR11016106	PRJNA604255	SAMN13961958	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:37	141	2966865132	RAD-Seq
SRR11016095	PRJNA604255	SAMN13961959	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:45	146	5492265324	RAD-Seq
SRR11016084	PRJNA604255	SAMN13961960	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	734165869	RAD-Seq
SRR11016073	PRJNA604255	SAMN13961961	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	481341053	RAD-Seq
SRR11016150	PRJNA604255	SAMN13962009	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	547275469	RAD-Seq
SRR11016149	PRJNA604255	SAMN13962010	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1055537769	RAD-Seq
SRR11016148	PRJNA604255	SAMN13962011	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:35	139	2122671592	RAD-Seq
SRR11016147	PRJNA604255	SAMN13962012	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	5713166	RAD-Seq
SRR11016146	PRJNA604255	SAMN13962013	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	20651874	RAD-Seq
SRR11016145	PRJNA604255	SAMN13962014	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:35	140	1914246395	RAD-Seq
SRR11016143	PRJNA604255	SAMN13962015	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	495393486	RAD-Seq
SRR11016142	PRJNA604255	SAMN13962016	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	386576187	RAD-Seq
SRR11016141	PRJNA604255	SAMN13962017	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:50	145	4878662361	RAD-Seq
SRR11016140	PRJNA604255	SAMN13962018	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	651587360	RAD-Seq
SRR11016139	PRJNA604255	SAMN13962019	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	418249787	RAD-Seq
SRR11016138	PRJNA604255	SAMN13962020	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:35	140	2347731526	RAD-Seq
SRR11016137	PRJNA604255	SAMN13962021	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	735834389	RAD-Seq
SRR11016136	PRJNA604255	SAMN13962022	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1004238960	RAD-Seq
SRR11016135	PRJNA604255	SAMN13962023	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	719211304	RAD-Seq
SRR11016134	PRJNA604255	SAMN13962024	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	557986822	RAD-Seq
SRR11016132	PRJNA604255	SAMN13962025	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	560535557	RAD-Seq
SRR11016131	PRJNA604255	SAMN13962026	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	433564518	RAD-Seq
SRR11016130	PRJNA604255	SAMN13962027	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:43	101	1074870179	RAD-Seq
SRR11016129	PRJNA604255	SAMN13962028	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	530894279	RAD-Seq
SRR11016128	PRJNA604255	SAMN13962029	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	538876814	RAD-Seq
SRR11016127	PRJNA604255	SAMN13962030	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	520280896	RAD-Seq
SRR11016126	PRJNA604255	SAMN13962031	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:50	145	4623618684	RAD-Seq
SRR11016125	PRJNA604255	SAMN13962032	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:40	145	3853447858	RAD-Seq
SRR11016124	PRJNA604255	SAMN13962033	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	537389488	RAD-Seq
SRR11016123	PRJNA604255	SAMN13962034	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	981510930	RAD-Seq
SRR11016121	PRJNA604255	SAMN13962035	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1122608839	RAD-Seq
SRR11016120	PRJNA604255	SAMN13962036	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:50	145	4115061507	RAD-Seq
SRR11016119	PRJNA604255	SAMN13962037	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	795655174	RAD-Seq
SRR11016118	PRJNA604255	SAMN13962038	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:28	101	472980273	RAD-Seq
SRR11016117	PRJNA604255	SAMN13962039	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	666525159	RAD-Seq
SRR11016116	PRJNA604255	SAMN13962040	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1022139493	RAD-Seq
SRR11016115	PRJNA604255	SAMN13962041	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1455722696	RAD-Seq
SRR11016114	PRJNA604255	SAMN13962042	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	991819495	RAD-Seq
SRR11016113	PRJNA604255	SAMN13962043	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	627456238	RAD-Seq
SRR11016112	PRJNA604255	SAMN13962044	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	925285442	RAD-Seq
SRR11016163	PRJNA604255	SAMN13962059	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:37	140	2537765911	RAD-Seq
SRR11016162	PRJNA604255	SAMN13962060	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:35	138	2310455384	RAD-Seq
SRR11016161	PRJNA604255	SAMN13962061	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	652472827	RAD-Seq
SRR11016160	PRJNA604255	SAMN13962062	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1077263879	RAD-Seq
SRR11016159	PRJNA604255	SAMN13962063	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:33	101	1222955874	RAD-Seq
SRR11016158	PRJNA604255	SAMN13962064	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:33	101	1232850440	RAD-Seq
SRR11016156	PRJNA604255	SAMN13962065	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	704509138	RAD-Seq
SRR11016155	PRJNA604255	SAMN13962066	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1098157244	RAD-Seq
SRR11016154	PRJNA604255	SAMN13962067	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	907807594	RAD-Seq
SRR11016153	PRJNA604255	SAMN13962068	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:35	101	2010600334	RAD-Seq
SRR11016151	PRJNA604255	SAMN13962069	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:33	101	970073589	RAD-Seq
SRR11016111	PRJNA604255	SAMN13962070	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	902199670	RAD-Seq
SRR11016110	PRJNA604255	SAMN13962071	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1008393393	RAD-Seq
SRR11016109	PRJNA604255	SAMN13962072	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	714661355	RAD-Seq
SRR11016108	PRJNA604255	SAMN13962073	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	925096471	RAD-Seq
SRR11016107	PRJNA604255	SAMN13962074	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	434611888	RAD-Seq
SRR11016105	PRJNA604255	SAMN13962075	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	239879141	RAD-Seq
SRR11016104	PRJNA604255	SAMN13962076	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	704603876	RAD-Seq
SRR11016103	PRJNA604255	SAMN13962077	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	726600868	RAD-Seq
SRR11016102	PRJNA604255	SAMN13962078	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1287332870	RAD-Seq
SRR11016101	PRJNA604255	SAMN13962079	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1224699942	RAD-Seq
SRR11016100	PRJNA604255	SAMN13962080	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	788739906	RAD-Seq
SRR11016099	PRJNA604255	SAMN13962081	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1172243471	RAD-Seq
SRR11016098	PRJNA604255	SAMN13962082	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	1055328194	RAD-Seq
SRR11016097	PRJNA604255	SAMN13962083	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	540983674	RAD-Seq
SRR11016096	PRJNA604255	SAMN13962084	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:31	101	954761484	RAD-Seq
SRR11016094	PRJNA604255	SAMN13962085	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	426521081	RAD-Seq
SRR11016093	PRJNA604255	SAMN13962086	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	934469574	RAD-Seq
SRR11016092	PRJNA604255	SAMN13962087	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:30	101	682032699	RAD-Seq
SRR11016091	PRJNA604255	SAMN13962088	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:35	141	2802753556	RAD-Seq
SRR11016090	PRJNA604255	SAMN13962089	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:37	141	2622125121	RAD-Seq
SRR11016089	PRJNA604255	SAMN13962090	Aeorestes cinereus	NorthAmerica	Illumina HiSeq 4000	SINGLE	not determined	2/4/20 13:29	101	862379915	RAD-Seq
