Run	BioProject	BioSample	ScientificName	pop	Instrument	LibraryLayout	sex
SRR3509077	PRJNA321590	SAMN05000823	Bison bison	not applicable	Illumina HiSeq 2500	PAIRED	male
SRR3509078	PRJNA321590	SAMN05000823	Bison bison	not applicable	Illumina HiSeq 2500	PAIRED	male
SRR3527385	PRJNA321590	SAMN05000823	Bison bison	not applicable	Illumina HiSeq 2500	PAIRED	male
SRR3530403	PRJNA321590	SAMN05000810	Bison bonasus	not applicable	Illumina HiSeq 2500	PAIRED	male
SRR3530411	PRJNA321590	SAMN05000810	Bison bonasus	not applicable	Illumina HiSeq 2500	PAIRED	male
SRR3530515	PRJNA321590	SAMN05000823	Bison bison	not applicable	Illumina HiSeq 2500	PAIRED	male
SRR3530525	PRJNA321590	SAMN05000823	Bison bison	not applicable	Illumina HiSeq 2500	PAIRED	male
SRR12514558	PRJNA658430	SAMN15870394	Bison bison bison	Plains bison	Illumina HiSeq 2500	PAIRED	female
SRR12514559	PRJNA658430	SAMN15870393	Bison bison bison	Plains bison	Illumina HiSeq 2500	PAIRED	female
SRR12514560	PRJNA658430	SAMN15870392	Bison bison bison	Plains bison	Illumina HiSeq 2500	PAIRED	female
SRR12514561	PRJNA658430	SAMN15870391	Bison bison bison	Plains bison	Illumina HiSeq 2500	PAIRED	female
SRR12514562	PRJNA658430	SAMN15870390	Bison bison bison	Plains bison	Illumina HiSeq 2500	PAIRED	Missing
SRR12514563	PRJNA658430	SAMN15870425	Bison bison athabascae	Wood bison	HiSeq X Ten	PAIRED	Missing
SRR12514564	PRJNA658430	SAMN15870389	Bison bison bison	Plains bison	Illumina HiSeq 2500	PAIRED	Missing
SRR12514565	PRJNA658430	SAMN15870424	Bison bison athabascae	Wood bison	HiSeq X Ten	PAIRED	Missing
SRR12514566	PRJNA658430	SAMN15870423	Bison bison athabascae	Wood bison	HiSeq X Ten	PAIRED	Missing
SRR12514567	PRJNA658430	SAMN15870422	Bison bison athabascae	Wood bison	HiSeq X Ten	PAIRED	Missing
SRR12514568	PRJNA658430	SAMN15870421	Bison bison athabascae	Wood bison	HiSeq X Ten	PAIRED	female
SRR12514569	PRJNA658430	SAMN15870420	Bison bison athabascae	Wood bison	HiSeq X Ten	PAIRED	male
SRR12514570	PRJNA658430	SAMN15870419	Bison bison athabascae	Wood bison	HiSeq X Ten	PAIRED	male
SRR12514571	PRJNA658430	SAMN15870418	Bison bison athabascae	Wood bison	HiSeq X Ten	PAIRED	Missing
SRR12514572	PRJNA658430	SAMN15870417	Bison bison athabascae	Wood bison	HiSeq X Ten	PAIRED	Missing
SRR12514573	PRJNA658430	SAMN15870416	Bison bison athabascae	Wood bison	Illumina HiSeq 2500	PAIRED	Missing
SRR12514574	PRJNA658430	SAMN15870415	Bison bison athabascae	Wood bison	Illumina HiSeq 2500	PAIRED	Missing
SRR12514575	PRJNA658430	SAMN15870388	Bison bison bison	Plains bison	Illumina HiSeq 2500	PAIRED	Missing
SRR12514576	PRJNA658430	SAMN15870414	Bison bison athabascae	Wood bison	Illumina HiSeq 2500	PAIRED	Missing
