Run	BioProject	BioSample	ScientificName	pop	Instrument	LibraryLayout	sex	AvgSpotLen	Bases
ERR4317897	PRJEB39198	SAMEA4853025	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	48340671900
ERR4317899	PRJEB39198	SAMEA4853026	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	48714868624
ERR4317901	PRJEB39198	SAMEA4853028	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	54041477882
ERR4317903	PRJEB39198	SAMEA7038687	Canis lupus	Finland	HiSeq X Ten	PAIRED	female	302	47815647618
ERR4317905	PRJEB39198	SAMEA4853029	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	38666761468
ERR4317907	PRJEB39198	SAMEA4853030	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	65031671320
ERR4317910	PRJEB39198	SAMEA4853031	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	60309297622
ERR4317912	PRJEB39198	SAMEA7038691	Canis lupus	Finland	HiSeq X Ten	PAIRED	female	302	53995868936
ERR4317914	PRJEB39198	SAMEA7038692	Canis lupus	Finland	HiSeq X Ten	PAIRED	female	302	36267629980
ERR4317915	PRJEB39198	SAMEA7038693	Canis lupus	Finland	HiSeq X Ten	PAIRED	female	302	45246308930
ERR4317917	PRJEB39198	SAMEA7038699	Canis lupus	Finland	HiSeq X Ten	PAIRED	female	302	44582056608
ERR4317919	PRJEB39198	SAMEA7038701	Canis lupus	Finland	HiSeq X Ten	PAIRED	female	302	61183028922
ERR4317922	PRJEB39198	SAMEA4853021	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	54807255960
ERR4317924	PRJEB39198	SAMEA4853023	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	52254052528
ERR4317926	PRJEB39198	SAMEA7038702	Canis lupus	Finland	HiSeq X Ten	PAIRED	female	302	40722429262
ERR4317928	PRJEB39198	SAMEA4853042	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	57128988472
ERR4317930	PRJEB39198	SAMEA4853047	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	57737123154
ERR4317931	PRJEB39198	SAMEA4853048	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	56984155614
ERR4317933	PRJEB39198	SAMEA4853050	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	40156489416
ERR4317935	PRJEB39198	SAMEA4853062	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	58268843078
ERR4317937	PRJEB39198	SAMEA4853065	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	50515589830
ERR4317940	PRJEB39198	SAMEA4853082	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	54953552008
ERR4317942	PRJEB39198	SAMEA4853085	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	49069788386
ERR4317944	PRJEB39198	SAMEA4853080	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	47153933002
ERR4317946	PRJEB39198	SAMEA4853016	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	88087361208
ERR4317948	PRJEB39198	SAMEA4853019	Canis lupus	Finland	HiSeq X Ten	PAIRED	male	302	31602861876
