Run	Assay Type	BioProject	BioSample	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA Study	AvgSpotLen	Bases	sex	geo_loc_name_country	geo_loc_name_country_continent
SRR8437774	WGS	PRJNA514886	SAMN10736124	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	302	60586269070	female		
SRR8437775	WGS	PRJNA514886	SAMN10736125	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	267	64457477274	female		
SRR8437776	WGS	PRJNA514886	SAMN10736126	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	267	69624798852	female		
SRR8437777	WGS	PRJNA514886	SAMN10736127	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	267	59745700574	female		
SRR8437780	WGS	PRJNA514886	SAMN10736122	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	302	60447694860	male		
SRR8437781	WGS	PRJNA514886	SAMN10736123	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	302	65618204848	female		
SRR8437782	WGS	PRJNA514886	SAMN10736128	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	268	55624586622	male		
SRR8437783	WGS	PRJNA514886	SAMN10736129	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	267	59795020626	male		
SRR8437791	WGS	PRJNA514886	SAMN10736150	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	267	54553553250	male		
SRR8437793	WGS	PRJNA514886	SAMN10736130	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	302	59211942872	male		
SRR8437794	WGS	PRJNA514886	SAMN10736131	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	302	58661494418	male		
SRR8437795	WGS	PRJNA514886	SAMN10736132	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	267	57287157026	male		
SRR8437796	WGS	PRJNA514886	SAMN10736133	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	267	61051712098	female		
SRR8437797	WGS	PRJNA514886	SAMN10736134	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	302	56825962880	male		
SRR8437798	WGS	PRJNA514886	SAMN10736135	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	302	57151779808	male		
SRR8437799	WGS	PRJNA514886	SAMN10736136	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	268	63616127542	male		
SRR8437800	WGS	PRJNA514886	SAMN10736137	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	252	54764488044	female		
SRR8437801	WGS	PRJNA514886	SAMN10736138	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	252	56588864472	female		
SRR8437802	WGS	PRJNA514886	SAMN10736139	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	268	60913972242	female		
SRR8437803	WGS	PRJNA514886	SAMN10736149	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	268	61037612786	female		
SRR8437804	WGS	PRJNA514886	SAMN10736148	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	267	62119497826	male		
SRR8437805	WGS	PRJNA514886	SAMN10736145	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	267	56598214390	female		
SRR8437806	WGS	PRJNA514886	SAMN10736144	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	267	61123062264	female		
SRR8437807	WGS	PRJNA514886	SAMN10736147	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	252	60488031240	female		
SRR8437808	WGS	PRJNA514886	SAMN10736146	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	252	62772194772	female		
SRR8437809	WGS	PRJNA514886	SAMN10736141	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	267	55765063670	male		
SRR8437810	WGS	PRJNA514886	SAMN10736140	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	267	60294231340	male		
SRR8437811	WGS	PRJNA514886	SAMN10736143	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	268	63973495812	male		
SRR8437812	WGS	PRJNA514886	SAMN10736142	Illumina HiSeq 4000	PAIRED	RANDOM	GENOMIC	Capra ibex	ILLUMINA	SRP178825	268	59048460324	female		
