Run	BioProject	BioSample	ScientificName	pop	Instrument	LibraryLayout	sex	AvgSpotLen	Bases
ERR5559418	PRJEB43951	SAMEA8456921	Hydrodamalis gigas	Commander Islands, Russia	Illumina HiSeq 1000	PAIRED			
ERR5559426	PRJEB43951	SAMEA8456919	Hydrodamalis gigas	Commander Islands, Russia	Illumina NovaSeq 6000	PAIRED			
ERR5559432	PRJEB43951	SAMEA8456920	Hydrodamalis gigas	Commander Islands, Russia	Illumina NovaSeq 6000	PAIRED			
ERR5559438	PRJEB43951	SAMEA8456922	Hydrodamalis gigas	Commander Islands, Russia	Illumina NovaSeq 6000	PAIRED			
ERR5559444	PRJEB43951	SAMEA8456923	Hydrodamalis gigas	Commander Islands, Russia	Illumina NovaSeq 6000	PAIRED			
ERR5559452	PRJEB43951	SAMEA8456924	Hydrodamalis gigas	Commander Islands, Russia	Illumina NovaSeq 6000	PAIRED			
ERR5559460	PRJEB43951	SAMEA8456925	Hydrodamalis gigas	Commander Islands, Russia	Illumina NovaSeq 6000	PAIRED			
ERR5559470	PRJEB43951	SAMEA8456926	Hydrodamalis gigas	Commander Islands, Russia	Illumina NovaSeq 6000	PAIRED			
ERR5559476	PRJEB43951	SAMEA8456927	Hydrodamalis gigas	Commander Islands, Russia	Illumina NovaSeq 6000	PAIRED			
ERR5559482	PRJEB43951	SAMEA8456928	Hydrodamalis gigas	Commander Islands, Russia	Illumina NovaSeq 6000	PAIRED			
ERR5559486	PRJEB43951	SAMEA8456929	Hydrodamalis gigas	Commander Islands, Russia	Illumina NovaSeq 6000	PAIRED			
