SRR3001921,WGS,SAMN04296391,CFSAN,public,SRX1483052,Illumina MiSeq,Salmonella enterica subsp. enterica Nextera XT shotgun,PAIRED,RANDOM,GENOMIC,Salmonella enterica,ILLUMINA,2015-12-15T00:00:00Z,CFSAN042580,SRP018785,469,374543740,235806628,"wgmlst_sig,sra,fastq,realign","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA186035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,North America,USA:SC,,,,,,,,,,,,,,,,,Pathogen.env,1998,missing,,Lemur; necropsy,,
SRR9398886,WGS,SAMN12110520,BI,public,SRX6164774,AB 310 Genetic Analyzer,G698P1,SINGLE,unspecified,GENOMIC,Lemur catta,CAPILLARY,2020-01-01T00:00:00Z,BI LEMUR CATTA,SRP202341,928,712711,17370878,sra,"ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9398887,WGS,SAMN12110520,BI,public,SRX6164775,AB 310 Genetic Analyzer,G698P2,SINGLE,unspecified,GENOMIC,Lemur catta,CAPILLARY,2020-01-01T00:00:00Z,BI LEMUR CATTA,SRP202341,952,731227,17367325,sra,"ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9398888,WGS,SAMN12110520,BI,public,SRX6164776,AB 310 Genetic Analyzer,G698P3,SINGLE,unspecified,GENOMIC,Lemur catta,CAPILLARY,2020-01-01T00:00:00Z,BI LEMUR CATTA,SRP202341,967,743373,17881767,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9398889,WGS,SAMN12110520,BI,public,SRX6164777,AB 310 Genetic Analyzer,G698P4,SINGLE,unspecified,GENOMIC,Lemur catta,CAPILLARY,2020-01-01T00:00:00Z,BI LEMUR CATTA,SRP202341,940,722035,17374989,sra,"s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR4163396,WGS,SAMEA5533100,WELLCOME SANGER INSTITUTE,public,ERX4128725,HiSeq X Ten,DN531410W:F5,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-05-20T00:00:00Z,0ef7b7cc-4eeb-11e9-9de7-68b59976a384,ERP115057,302,31597167364,13899964085,"cram,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",PRJEB32376,2020-05-19,2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-19,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001d_lo0001,,,,,,,,,,,,,,,,,,,,
ERR4163397,WGS,SAMEA5533120,WELLCOME SANGER INSTITUTE,public,ERX4128726,HiSeq X Ten,DN531410W:B8,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-05-20T00:00:00Z,112b4c0c-4eeb-11e9-9de7-68b59976a384,ERP115057,302,24129653228,10607187143,"sra,cram","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",PRJEB32376,2020-05-19,2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-19,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001b_lo0010,,,,,,,,,,,,,,,,,,,,
ERR4163398,WGS,SAMEA5533121,WELLCOME SANGER INSTITUTE,public,ERX4128727,HiSeq X Ten,DN531410W:C8,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-05-20T00:00:00Z,11470910-4eeb-11e9-9de7-68b59976a384,ERP115057,302,23749471166,10464592215,"cram,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",PRJEB32376,2020-05-19,2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-19,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001b_lo0011,,,,,,,,,,,,,,,,,,,,
ERR4163399,WGS,SAMEA5533122,WELLCOME SANGER INSTITUTE,public,ERX4128728,HiSeq X Ten,DN531410W:D8,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-05-20T00:00:00Z,11629d92-4eeb-11e9-9de7-68b59976a384,ERP115057,302,22708408612,10078046684,"sra,cram","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",PRJEB32376,2020-05-19,2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-19,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001b_lo0012,,,,,,,,,,,,,,,,,,,,
ERR4163400,WGS,SAMEA5533123,WELLCOME SANGER INSTITUTE,public,ERX4128729,HiSeq X Ten,DN531410W:E8,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-05-20T00:00:00Z,117d6ef6-4eeb-11e9-9de7-68b59976a384,ERP115057,302,25306622124,11434233936,"sra,cram","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",PRJEB32376,2020-05-19,2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-19,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001b_lo0013,,,,,,,,,,,,,,,,,,,,
ERR4163401,WGS,SAMEA5533100,WELLCOME SANGER INSTITUTE,public,ERX4128730,HiSeq X Ten,DN531410W:F5,PAIRED,RANDOM,GENOMIC,Lemur catta,ILLUMINA,2020-05-20T00:00:00Z,0ef7b7cc-4eeb-11e9-9de7-68b59976a384,ERP115057,302,30674812252,13559166019,"sra,cram","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",PRJEB32376,2020-05-19,2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-19,2019-03-25,Lemur,Lemur catta,,,,Lemur,,RTLD0001d_lo0001,,,,,,,,,,,,,,,,,,,,
