Run	BioProject	BioSample	ScientificName	pop	Instrument	LibraryLayout	sex	AvgSpotLen	Bases
SRR6485282	PRJNA420081	SAMN08146474	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2915735508
SRR6485283	PRJNA420081	SAMN08146475	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	3474599688
SRR6485284	PRJNA420081	SAMN08146476	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	3000483864
SRR6485285	PRJNA420081	SAMN08146477	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2815272432
SRR6485286	PRJNA420081	SAMN08146478	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2564381736
SRR6485287	PRJNA420081	SAMN08146479	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2915633700
SRR6485288	PRJNA420081	SAMN08146480	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2783567556
SRR6485289	PRJNA420081	SAMN08146481	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2588135256
SRR6485290	PRJNA420081	SAMN08146482	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2919759192
SRR6485208	PRJNA420081	SAMN08146483	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2705860332
SRR6485207	PRJNA420081	SAMN08146484	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	3159538704
SRR6485210	PRJNA420081	SAMN08146485	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	3816551844
SRR6485209	PRJNA420081	SAMN08146486	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2635675308
SRR6485212	PRJNA420081	SAMN08146487	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2826322884
SRR6485211	PRJNA420081	SAMN08146488	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	3306549708
SRR6485214	PRJNA420081	SAMN08146489	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2614471524
SRR6485213	PRJNA420081	SAMN08146490	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	3261829284
SRR6485206	PRJNA420081	SAMN08146491	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	3015528516
SRR6485205	PRJNA420081	SAMN08146492	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2695103712
SRR6485321	PRJNA420081	SAMN08146493	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2589777036
SRR6485319	PRJNA420081	SAMN08146495	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2691345384
SRR6485320	PRJNA420081	SAMN08146496	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2542311072
SRR6485325	PRJNA420081	SAMN08146497	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	3346965468
SRR6485326	PRJNA420081	SAMN08146498	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	3323623968
SRR6485323	PRJNA420081	SAMN08146499	Lepus americanus	USA:Washington	Illumina HiSeq 1500	PAIRED		252	2873370276
