SRR1970797,WGS,PRJNA280802,SAMN03466619,UNIVERSITY OF POTSDAM,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX992579,Illumina HiSeq 2000,LPA_placenta--SG,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-04-10T00:00:00Z,LPA_placenta,SRP057047,,,,,,,,,,,,200,392390800,252808424,,,,,not collected,J.Fickel,Model organism or animal,NA,not collected,tissue (placenta)
ERR1255497,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ncbi,gs,s3,ena","ncbi.public,s3.us-east-1,ena,gs.US",ERX1327106,Illumina HiSeq 2000,681A,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,136,8652349051,6730003339,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255498,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","ena,gs,s3,ncbi","gs.US,s3.us-east-1,ena,ncbi.public",ERX1327107,Illumina HiSeq 2000,681A,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,136,12711116072,9409027296,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255499,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","gs,ena,ncbi,s3","gs.US,s3.us-east-1,ncbi.public,ena",ERX1327108,Illumina HiSeq 2000,681A,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,136,12584539219,9037222553,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255500,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,unknown_contigs,sra","ena,s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US,ena",ERX1327109,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7684899372,4546945045,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255501,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","gs,ena,ncbi,s3","gs.US,s3.us-east-1,ncbi.public,ena",ERX1327110,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7615643004,4522347647,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255502,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"unknown_contigs,sra,fastq","ena,ncbi,s3,gs","gs.US,ena,ncbi.public,s3.us-east-1",ERX1327111,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7522692192,4452943785,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255503,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra,unknown_contigs","s3,gs,ncbi,ena","s3.us-east-1,ncbi.public,ena,gs.US",ERX1327112,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7539665424,4461230173,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255504,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,unknown_contigs,fastq","gs,s3,ncbi,ena","ncbi.public,ena,s3.us-east-1,gs.US",ERX1327113,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,6977029140,3844898921,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255505,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"unknown_contigs,sra,fastq","ena,s3,ncbi,gs","ena,gs.US,ncbi.public,s3.us-east-1",ERX1327114,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,6409696740,3328326156,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255506,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,unknown_contigs,sra","ncbi,s3,ena,gs","gs.US,ena,s3.us-east-1,ncbi.public",ERX1327115,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,5407548960,2585657372,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255507,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"unknown_contigs,fastq,sra","ena,s3,gs,ncbi","ncbi.public,gs.US,ena,s3.us-east-1",ERX1327116,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,4558871400,2071909098,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255508,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra,unknown_contigs","ena,s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1,ena",ERX1327117,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,8147653644,5180308980,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255509,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra,unknown_contigs","ncbi,ena,s3,gs","ncbi.public,gs.US,s3.us-east-1,ena",ERX1327118,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,8021369460,5046096297,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255510,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,unknown_contigs,sra","gs,ena,s3,ncbi","ena,s3.us-east-1,ncbi.public,gs.US",ERX1327119,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,8082639900,5096812538,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255511,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"unknown_contigs,sra,fastq","gs,s3,ena,ncbi","ncbi.public,ena,s3.us-east-1,gs.US",ERX1327120,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,8028222912,5077383716,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255512,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ncbi,s3,gs,ena","ncbi.public,gs.US,ena,s3.us-east-1",ERX1327121,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,9630709968,6145671378,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255513,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq","ena,gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1,ena",ERX1327122,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,9770209716,6252028207,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255514,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ncbi,gs,s3,ena","ncbi.public,gs.US,s3.us-east-1,ena",ERX1327123,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,9799492668,6274311437,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255515,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"unknown_contigs,sra,fastq","gs,ncbi,ena,s3","s3.us-east-1,ena,ncbi.public,gs.US",ERX1327124,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,9071137776,5760562987,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255516,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"unknown_contigs,sra,fastq","s3,ena,ncbi,gs","s3.us-east-1,ena,ncbi.public,gs.US",ERX1327125,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,6232197600,3814833071,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255517,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra,unknown_contigs","gs,s3,ncbi,ena","gs.US,ncbi.public,s3.us-east-1,ena",ERX1327126,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,6220436220,3807092813,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255518,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,fastq,unknown_contigs","gs,ena,s3,ncbi","s3.us-east-1,ena,ncbi.public,gs.US",ERX1327127,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,6189089412,3798239567,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255519,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,unknown_contigs,sra","ena,ncbi,s3,gs","gs.US,ena,ncbi.public,s3.us-east-1",ERX1327128,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,6431231568,3962926507,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255520,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"unknown_contigs,fastq,sra","s3,ena,ncbi,gs","gs.US,s3.us-east-1,ena,ncbi.public",ERX1327129,Illumina Genome Analyzer IIx,LYNX_H,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7071526704,4258148101,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255521,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,unknown_contigs,fastq","s3,ncbi,ena,gs","ena,ncbi.public,s3.us-east-1,gs.US",ERX1327130,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7193121840,4236589742,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
