ERR216198,WGS,PRJEB1258,SAMEA1712907,KU-SUND,public,ERX190864,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Neovison vison,ILLUMINA,2013-02-24T00:00:00Z,SAMEA1712907,ERP002091,unspecified,41595357815,"fastq,sra","ena,ncbi","ncbi.public,ena",200,65502659000,2013-02-18,2018-11-16,,,,American_mink_sample,"Faculty of Health and Mediacl Sciences, University of Copenhagen,",2013-02-18T17:02:15Z,2018-03-09T10:06:44Z,public,ERS202638,ERS202638,American mink Sample,,,,,,,,,,,,,,,,,,"Pool of brain\, kidney\, lung and skin",KU-SUND
ERR1697186,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766694,Illumina HiSeq 2000,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_pe_150bp,34568284454,"fastq,sra","ncbi,s3,gs,ena","ncbi.public,s3.us-east-1,gs.US,ena",200,46986406600,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697187,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766695,Illumina HiSeq 2000,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_pe_150bp,33499650853,"sra,fastq","s3,ena,gs,ncbi","gs.US,ncbi.public,s3.us-east-1,ena",200,46291512600,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697188,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766696,Illumina HiSeq 2000,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_pe_150bp,31853746249,"fastq,sra","s3,gs,ncbi,ena","gs.US,s3.us-east-1,ncbi.public,ena",200,43323053800,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697189,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766697,Illumina HiSeq 2000,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_pe_600bp,26723864786,"sra,fastq","s3,ena,gs,ncbi","gs.US,s3.us-east-1,ena,ncbi.public",200,38728033200,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697190,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766698,Illumina HiSeq 2000,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_mp_3000,26897155027,"sra,fastq","ena,s3,gs,ncbi","s3.us-east-1,ena,ncbi.public,gs.US",200,38012007800,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697191,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766699,Illumina HiSeq 2000,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_mp_3000,32542571460,"sra,fastq","s3,ncbi,gs,ena","ncbi.public,gs.US,s3.us-east-1,ena",200,45226163200,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697192,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766700,Illumina Genome Analyzer IIx,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_mp_3000,5875016839,"sra,fastq","ncbi,gs,ena,s3","ena,s3.us-east-1,gs.US,ncbi.public",200,9122083800,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697193,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766701,Illumina Genome Analyzer IIx,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_mp_3000,20161532593,"sra,fastq","s3,ena,gs,ncbi","s3.us-east-1,ncbi.public,gs.US,ena",200,33843273600,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697194,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766702,Illumina Genome Analyzer IIx,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_mp_6000,25136830677,"sra,fastq","gs,ena,s3,ncbi","ena,s3.us-east-1,ncbi.public,gs.US",300,38285707500,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697195,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766703,Illumina Genome Analyzer IIx,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_mp_10000,8179597985,"sra,fastq","gs,ena,s3,ncbi","ncbi.public,s3.us-east-1,gs.US,ena",300,12577998300,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697196,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766704,Illumina HiSeq 2000,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_pe_8000,572905226,"fastq,sra","ena,gs,s3,ncbi","ena,ncbi.public,gs.US,s3.us-east-1",193,792795114,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697197,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766705,Illumina HiSeq 2000,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_pe_14000,347744614,"fastq,sra","ena,gs,s3,ncbi","ena,gs.US,ncbi.public,s3.us-east-1",197,483457289,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697198,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766706,Illumina HiSeq 2000,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_pe_14000,94947531,"sra,fastq","ncbi,gs,ena,s3","gs.US,ena,ncbi.public,s3.us-east-1",279,133032881,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697199,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766707,Illumina MiSeq,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_pe_32000,6689866,"sra,fastq","gs,ena,s3,ncbi","ena,gs.US,ncbi.public,s3.us-east-1",197,8845070,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
ERR1697200,WGS,PRJEB16307,SAMEA4516831,AARHUS UNIVERSITY,public,ERX1766708,Illumina MiSeq,PAIRED,size fractionation,GENOMIC,Neovison vison,ILLUMINA,2017-12-18T00:00:00Z,SAMEA4516831,ERP018160,mink2_pe_32000,54509951,"sra,fastq","ena,s3,ncbi,gs","s3.us-east-1,gs.US,ena,ncbi.public",288,77622704,2017-12-17,2018-11-16,,,,liver,AARHUS UNIVERSITY,2017-12-17T17:02:37Z,2016-10-18T15:28:33Z,public,ERS1416010,ERS1416010,adult liver,ERC000011,,,,,,,,,,,,,,,,,,
