Run	BioProject	BioSample	ScientificName	pop	Center Name	LibraryLayout	sex	AvgSpotLen	Bases
ERR222134	PRJEB1306	SAMEA1696546	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	male	121	129445260
ERR222135	PRJEB1306	SAMEA1696530	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	male	121	163641755
ERR222136	PRJEB1306	SAMEA1696571	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	male	108	158192177
ERR222137	PRJEB1306	SAMEA1696573	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	male	126	213346741
ERR222138	PRJEB1306	SAMEA1696591	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	male	129	150107504
ERR222139	PRJEB1306	SAMEA1696524	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	male	122	171138627
ERR222140	PRJEB1306	SAMEA1696545	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	male	125	182741580
ERR222141	PRJEB1306	SAMEA1696578	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	male	121	228531540
ERR222142	PRJEB1306	SAMEA1696596	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	male	123	221491277
ERR222143	PRJEB1306	SAMEA1696538	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	male	123	229084469
ERR222144	PRJEB1306	SAMEA1696523	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	male	125	181214070
ERR222145	PRJEB1306	SAMEA1696548	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	male	123	134604579
ERR222146	PRJEB1306	SAMEA1696565	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	female	121	174787023
ERR222147	PRJEB1306	SAMEA1696584	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	female	125	176141702
ERR222148	PRJEB1306	SAMEA1696594	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	female	122	173257641
ERR222149	PRJEB1306	SAMEA1696532	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	female	121	142196072
ERR222150	PRJEB1306	SAMEA1696559	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	female	124	244262903
ERR222151	PRJEB1306	SAMEA1696574	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	female	130	176663533
ERR222152	PRJEB1306	SAMEA1696588	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	female	129	202598561
ERR222153	PRJEB1306	SAMEA1696526	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED	female	128	196748062
ERR018599	PRJEB1976	SAMEA868701	Pan paniscus		SC	PAIRED		152	1701649576
ERR018600	PRJEB1976	SAMEA868701	Pan paniscus		SC	PAIRED		152	2811012608
ERR018601	PRJEB1976	SAMEA868701	Pan paniscus		SC	PAIRED		152	4502530472
ERR032933	PRJEB2482	SAMEA1029465	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED		152	1145376544
ERR032934	PRJEB2482	SAMEA1029463	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED		152	970488080
ERR032946	PRJEB2482	SAMEA1029469	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED		202	1877852802
ERR032951	PRJEB2482	SAMEA1029469	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED		202	1883422750
ERR032956	PRJEB2482	SAMEA1029469	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED		202	1930303314
ERR032962	PRJEB2482	SAMEA1029465	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED		152	2784936552
ERR032963	PRJEB2482	SAMEA1029463	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED		152	3249686280
ERR032964	PRJEB2482	SAMEA1029463	Pan paniscus	"Lola Ya Bonobo sanctuary, Kinshasa, Democratic Republic of Congo"	MPI-EVA	PAIRED		152	3331684048
SRR747927	PRJNA189439	SAMN01920504	Pan paniscus	Captive Born	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	PAIRED	female	200	10227696600
SRR747928	PRJNA189439	SAMN01920504	Pan paniscus	Captive Born	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	PAIRED	female	200	10587775000
SRR747930	PRJNA189439	SAMN01920504	Pan paniscus	Captive Born	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	PAIRED	female	200	7426963400
SRR747929	PRJNA189439	SAMN01920504	Pan paniscus	Captive Born	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	PAIRED	female	200	7698733600
SRR726607	PRJNA189439	SAMN01920505	Pan paniscus	Wild Born (DRC)	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	PAIRED	female	200	12095114200
SRR726608	PRJNA189439	SAMN01920505	Pan paniscus	Wild Born (DRC)	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	PAIRED	female	200	13655140600
SRR726609	PRJNA189439	SAMN01920505	Pan paniscus	Wild Born (DRC)	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	PAIRED	female	200	14430160000
SRR726610	PRJNA189439	SAMN01920505	Pan paniscus	Wild Born (DRC)	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	PAIRED	female	200	11892779200
SRR726612	PRJNA189439	SAMN01920505	Pan paniscus	Wild Born (DRC)	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	PAIRED	female	200	17462843000
