Run	BioProject	BioSample	ScientificName	pop	Instrument	LibraryLayout	sex	AvgSpotLen	Bases
SRR748024	PRJNA189439	SAMN01920542	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	20037361600
SRR748025	PRJNA189439	SAMN01920542	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	20015165200
SRR748026	PRJNA189439	SAMN01920542	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	19848240600
SRR748027	PRJNA189439	SAMN01920542	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	20971751800
SRR748028	PRJNA189439	SAMN01920542	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	18900004600
SRR748029	PRJNA189439	SAMN01920542	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	19544763800
SRR748030	PRJNA189439	SAMN01920543	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	21327926200
SRR748031	PRJNA189439	SAMN01920543	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	22418178200
SRR748032	PRJNA189439	SAMN01920543	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	18966026200
SRR748033	PRJNA189439	SAMN01920543	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	20403309800
SRR748034	PRJNA189439	SAMN01920543	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	19178076800
SRR748041	PRJNA189439	SAMN01920545	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	23827378800
SRR748042	PRJNA189439	SAMN01920545	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	24438184800
SRR748043	PRJNA189439	SAMN01920545	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	23926535800
SRR748044	PRJNA189439	SAMN01920545	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	25065276800
SRR748045	PRJNA189439	SAMN01920545	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	female	200	24475309600
SRR748046	PRJNA189439	SAMN01920546	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	male	200	21390040600
SRR748047	PRJNA189439	SAMN01920546	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	male	200	22978031800
SRR748048	PRJNA189439	SAMN01920546	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	male	200	21103892600
SRR748049	PRJNA189439	SAMN01920546	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	male	200	19968073800
SRR748050	PRJNA189439	SAMN01920546	Pongo abelii	Sumatra	Illumina HiSeq 2000	PAIRED	male	200	20201427400
ERR2274055	PRJEB19688	SAMEA104361529	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	19323166400
ERR2274056	PRJEB19688	SAMEA104361529	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	18076518000
ERR2274057	PRJEB19688	SAMEA104361529	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	20050470000
ERR2274058	PRJEB19688	SAMEA104361529	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	18026090200
ERR2274061	PRJEB19688	SAMEA104361530	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	22390875400
ERR2274062	PRJEB19688	SAMEA104361530	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	24270130200
ERR2274063	PRJEB19688	SAMEA104361530	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	21671755200
ERR2274064	PRJEB19688	SAMEA104361530	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	23464143600
ERR2274067	PRJEB19688	SAMEA104361529	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	20005074200
ERR2274068	PRJEB19688	SAMEA104361529	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	15942779000
ERR2274073	PRJEB19688	SAMEA104361530	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	22902513600
ERR2274078	PRJEB19688	SAMEA104361528	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	202	33742369870
ERR2274079	PRJEB19688	SAMEA104361528	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	202	32819270674
ERR2274080	PRJEB19688	SAMEA104361528	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	202	34980607852
ERR2274081	PRJEB19688	SAMEA104361528	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	202	3082144482
ERR2188831	PRJEB19688	SAMEA104361531	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	20775430400
ERR2188832	PRJEB19688	SAMEA104361531	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	21628455400
ERR2188833	PRJEB19688	SAMEA104361531	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	11023060600
ERR2188836	PRJEB19688	SAMEA104361531	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	22754780000
ERR2188837	PRJEB19688	SAMEA104361531	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	14207776000
ERR2188838	PRJEB19688	SAMEA104361531	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	200	21047250800
ERR2188845	PRJEB19688	SAMEA104361532	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	202	36457901320
ERR2188846	PRJEB19688	SAMEA104361527	Pongo abelii	North Aceh	Illumina HiSeq 2500	PAIRED	male	202	31035111734
ERR2188848	PRJEB19688	SAMEA104361532	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	202	23237331388
ERR2188849	PRJEB19688	SAMEA104361527	Pongo abelii	North Aceh	Illumina HiSeq 2500	PAIRED	male	202	36119454360
ERR2188851	PRJEB19688	SAMEA104361527	Pongo abelii	North Aceh	Illumina HiSeq 2500	PAIRED	male	202	41019034050
ERR2188852	PRJEB19688	SAMEA104361532	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	202	37895763176
ERR2188854	PRJEB19688	SAMEA104361527	Pongo abelii	North Aceh	Illumina HiSeq 2500	PAIRED	male	202	5313334068
ERR2188856	PRJEB19688	SAMEA104361532	Pongo abelii	West Alas	Illumina HiSeq 2500	PAIRED	female	202	3862121224
