Run	BioProject	BioSample	ScientificName	pop	Instrument	LibraryLayout	sex
SRR6942131	PRJNA448482	SAMN08848261	Rhinopithecus roxellana	China:Minshan mountains\,Gansu	Illumina HiSeq 2000	PAIRED	male
SRR6942132	PRJNA448482	SAMN08848260	Rhinopithecus roxellana	China:Qinlin mountains\,Shaanxi	Illumina HiSeq 2000	PAIRED	male
SRR6942133	PRJNA448482	SAMN08848263	Rhinopithecus roxellana	China:Shengnongjia National Nature Reserve\,Hubei	Illumina HiSeq 2000	PAIRED	male
SRR6942134	PRJNA448482	SAMN08848262	Rhinopithecus roxellana	China:Shengnongjia National Nature Reserve\,Hubei	Illumina HiSeq 2000	PAIRED	female
SRR1742924	PRJNA271514	SAMN03274878	Rhinopithecus roxellana	Sichuan/Gansu	Illumina HiSeq 2000	PAIRED	not collected
SRR1742925	PRJNA271514	SAMN03274878	Rhinopithecus roxellana	Sichuan/Gansu	Illumina HiSeq 2000	PAIRED	not collected
SRR1742926	PRJNA271514	SAMN03274878	Rhinopithecus roxellana	Sichuan/Gansu	Illumina HiSeq 2000	PAIRED	not collected
SRR1742928	PRJNA271514	SAMN03274878	Rhinopithecus roxellana	Sichuan/Gansu	Illumina HiSeq 2000	PAIRED	not collected
SRR1742929	PRJNA271514	SAMN03274878	Rhinopithecus roxellana	Sichuan/Gansu	Illumina HiSeq 2000	PAIRED	not collected
SRR1742930	PRJNA271514	SAMN03274879	Rhinopithecus roxellana	Sichuan/Gansu	Illumina HiSeq 2000	PAIRED	not collected
SRR1742931	PRJNA271514	SAMN03274879	Rhinopithecus roxellana	Sichuan/Gansu	Illumina HiSeq 2000	PAIRED	not collected
SRR1742932	PRJNA271514	SAMN03274879	Rhinopithecus roxellana	Sichuan/Gansu	Illumina HiSeq 2000	PAIRED	not collected
SRR1742933	PRJNA271514	SAMN03274879	Rhinopithecus roxellana	Sichuan/Gansu	Illumina HiSeq 2000	PAIRED	not collected
SRR1742934	PRJNA271514	SAMN03274879	Rhinopithecus roxellana	Sichuan/Gansu	Illumina HiSeq 2000	PAIRED	not collected
SRR1742935	PRJNA271514	SAMN03274880	Rhinopithecus roxellana	Sichuan/Gansu	Illumina HiSeq 2000	PAIRED	not collected
SRR1742936	PRJNA271514	SAMN03274880	Rhinopithecus roxellana	Sichuan/Gansu	Illumina HiSeq 2000	PAIRED	not collected
SRR1742937	PRJNA271514	SAMN03274881	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742938	PRJNA271514	SAMN03274881	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742939	PRJNA271514	SAMN03274881	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742940	PRJNA271514	SAMN03274882	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742941	PRJNA271514	SAMN03274882	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742942	PRJNA271514	SAMN03274882	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742943	PRJNA271514	SAMN03274883	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742944	PRJNA271514	SAMN03274883	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742945	PRJNA271514	SAMN03274883	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742946	PRJNA271514	SAMN03274883	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742951	PRJNA271514	SAMN03274884	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742953	PRJNA271514	SAMN03274884	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742954	PRJNA271514	SAMN03274884	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742956	PRJNA271514	SAMN03274884	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742958	PRJNA271514	SAMN03274886	Rhinopithecus roxellana	Qionglai mountain	Illumina HiSeq 2000	PAIRED	not collected
SRR1742959	PRJNA271514	SAMN03274886	Rhinopithecus roxellana	Qionglai mountain	Illumina HiSeq 2000	PAIRED	not collected
SRR1742961	PRJNA271514	SAMN03274886	Rhinopithecus roxellana	Qionglai mountain	Illumina HiSeq 2000	PAIRED	not collected
SRR1742962	PRJNA271514	SAMN03274886	Rhinopithecus roxellana	Qionglai mountain	Illumina HiSeq 2000	PAIRED	not collected
SRR1742964	PRJNA271514	SAMN03274886	Rhinopithecus roxellana	Qionglai mountain	Illumina HiSeq 2000	PAIRED	not collected
SRR1742966	PRJNA271514	SAMN03274885	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742967	PRJNA271514	SAMN03274885	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742968	PRJNA271514	SAMN03274885	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742969	PRJNA271514	SAMN03274885	Rhinopithecus roxellana	Minshan	Illumina HiSeq 2000	PAIRED	not collected
SRR1742970	PRJNA271514	SAMN03274887	Rhinopithecus roxellana	Qionglai mountain	Illumina HiSeq 2000	PAIRED	not collected
SRR1742971	PRJNA271514	SAMN03274887	Rhinopithecus roxellana	Qionglai mountain	Illumina HiSeq 2000	PAIRED	not collected
SRR1742972	PRJNA271514	SAMN03274887	Rhinopithecus roxellana	Qionglai mountain	Illumina HiSeq 2000	PAIRED	not collected
SRR1742973	PRJNA271514	SAMN03274887	Rhinopithecus roxellana	Qionglai mountain	Illumina HiSeq 2000	PAIRED	not collected
SRR1742974	PRJNA271514	SAMN03274887	Rhinopithecus roxellana	Qionglai mountain	Illumina HiSeq 2000	PAIRED	not collected
SRR1743018	PRJNA271514	SAMN03274888	Rhinopithecus roxellana	Qionglai mountain	Illumina HiSeq 2000	PAIRED	not collected
SRR1743019	PRJNA271514	SAMN03274888	Rhinopithecus roxellana	Qionglai mountain	Illumina HiSeq 2000	PAIRED	not collected
