Run	BioProject	BioSample	ScientificName	pop	Instrument	LibraryLayout	sex	AvgSpotLen	Bases
SRR15598087	PRJNA470999	SAMN20949874	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	18380159410
SRR15598088	PRJNA470999	SAMN20949873	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	13991005566
SRR15598089	PRJNA470999	SAMN20949872	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	24511697724
SRR15598214	PRJNA470999	SAMN20949914	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	46370820426
SRR15598215	PRJNA470999	SAMN20949898	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	44794349018
SRR15598218	PRJNA470999	SAMN20949870	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	25827169860
SRR15598219	PRJNA470999	SAMN20949869	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	35056182046
SRR15598220	PRJNA470999	SAMN20949868	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	37738733286
SRR15598222	PRJNA470999	SAMN20949867	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	38510789340
SRR15598223	PRJNA470999	SAMN20949866	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	47029627990
SRR15598224	PRJNA470999	SAMN20949913	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	30042596694
SRR15598225	PRJNA470999	SAMN20949912	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	26039742224
SRR15598226	PRJNA470999	SAMN20949911	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	23556296262
SRR15598227	PRJNA470999	SAMN20949910	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	24881667052
SRR15598228	PRJNA470999	SAMN20949909	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	49197550996
SRR15598229	PRJNA470999	SAMN20949908	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	48106065314
SRR15598230	PRJNA470999	SAMN20949907	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	29977670318
SRR15598231	PRJNA470999	SAMN20949906	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	23284410192
SRR15598233	PRJNA470999	SAMN20949905	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	49097679596
SRR15598234	PRJNA470999	SAMN20949904	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	24751928154
SRR15598235	PRJNA470999	SAMN20949903	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	30547789542
SRR15598236	PRJNA470999	SAMN20949902	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	43368823854
SRR15598237	PRJNA470999	SAMN20949901	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	31411343442
SRR15598238	PRJNA470999	SAMN20949900	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	59985228972
SRR15598239	PRJNA470999	SAMN20949899	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	37668312322
SRR15598240	PRJNA470999	SAMN20949897	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	32588094596
SRR15598241	PRJNA470999	SAMN20949896	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	50919735592
SRR15598242	PRJNA470999	SAMN20949895	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	25437427082
SRR15598244	PRJNA470999	SAMN20949894	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	38117593192
SRR15598245	PRJNA470999	SAMN20949893	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	34914797122
SRR15598246	PRJNA470999	SAMN20949892	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	70388611042
SRR15598247	PRJNA470999	SAMN20949891	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	44455262512
SRR15598248	PRJNA470999	SAMN20949878	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	55951249476
SRR15598249	PRJNA470999	SAMN20949877	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	14880423652
SRR15598250	PRJNA470999	SAMN20949890	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	22643766720
SRR15598251	PRJNA470999	SAMN20949889	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	24278453460
SRR15598252	PRJNA470999	SAMN20949888	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	20136906094
SRR15598253	PRJNA470999	SAMN20949887	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	30386304706
SRR15598255	PRJNA470999	SAMN20949886	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	53559905360
SRR15598256	PRJNA470999	SAMN20949885	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	14745934294
SRR15598257	PRJNA470999	SAMN20949884	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	21773350776
SRR15598258	PRJNA470999	SAMN20949883	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	23223304720
SRR15598259	PRJNA470999	SAMN20949882	Theropithecus gelada	Ethiopia	Illumina NovaSeq 6000	PAIRED		302	20811350010
