Run	BioProject	BioSample	ScientificName		pop	Instrument	LibraryLayout	Sex
#SRR13817251	PRJNA705721	SAMN18097340	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	female
#SRR13817240	PRJNA705721	SAMN18097341	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817229	PRJNA705721	SAMN18097342	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817225	PRJNA705721	SAMN18097343	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817224	PRJNA705721	SAMN18097344	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817223	PRJNA705721	SAMN18097345	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817222	PRJNA705721	SAMN18097346	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817253	PRJNA705721	SAMN18097365	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817252	PRJNA705721	SAMN18097366	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817250	PRJNA705721	SAMN18097367	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817249	PRJNA705721	SAMN18097368	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817248	PRJNA705721	SAMN18097369	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817247	PRJNA705721	SAMN18097370	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817246	PRJNA705721	SAMN18097371	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817245	PRJNA705721	SAMN18097372	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817244	PRJNA705721	SAMN18097373	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817243	PRJNA705721	SAMN18097374	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817231	PRJNA705721	SAMN18097385	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817230	PRJNA705721	SAMN18097386	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817228	PRJNA705721	SAMN18097387	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817227	PRJNA705721	SAMN18097388	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817226	PRJNA705721	SAMN18097389	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817232	PRJNA705721	SAMN18097384	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817242	PRJNA705721	SAMN18097375	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817241	PRJNA705721	SAMN18097376	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817239	PRJNA705721	SAMN18097377	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817238	PRJNA705721	SAMN18097378	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR13817237	PRJNA705721	SAMN18097379	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	male
#SRR13817236	PRJNA705721	SAMN18097380	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	female
#SRR13817235	PRJNA705721	SAMN18097381	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	male
#SRR13817234	PRJNA705721	SAMN18097382	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	male
#SRR13817233	PRJNA705721	SAMN18097383	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	male
#SRR10839583	PRJNA598135	SAMN13699169	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	female
#SRR10839581	PRJNA598135	SAMN13699170	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	female
#SRR10839580	PRJNA598135	SAMN13699171	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	female
#SRR10839579	PRJNA598135	SAMN13699172	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	male
#SRR10839578	PRJNA598135	SAMN13699173	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	male
#SRR10839577	PRJNA598135	SAMN13699174	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	male
#SRR10839576	PRJNA598135	SAMN13699175	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	male
#SRR10839575	PRJNA598135	SAMN13699176	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	male
#SRR10839590	PRJNA598135	SAMN13699162	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	female
#SRR10839591	PRJNA598135	SAMN13699161	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	female
#SRR10839589	PRJNA598135	SAMN13699163	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR10839588	PRJNA598135	SAMN13699164	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR10839587	PRJNA598135	SAMN13699165	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR10839586	PRJNA598135	SAMN13699166	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR10839585	PRJNA598135	SAMN13699167	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
#SRR10839584	PRJNA598135	SAMN13699168	Tursiops_aduncus		AustraliaRAD	Illumina_HiSeq_2500	PAIRED	not_determined
SRR13817274	PRJNA705721	SAMN18097337	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	female
SRR13817273	PRJNA705721	SAMN18097338	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	female
SRR13817262	PRJNA705721	SAMN18097339	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	male
SRR13817272	PRJNA705721	SAMN18097347	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	male
SRR13817271	PRJNA705721	SAMN18097348	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	female
SRR13817270	PRJNA705721	SAMN18097349	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	male
SRR13817269	PRJNA705721	SAMN18097350	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	female
SRR13817268	PRJNA705721	SAMN18097351	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	female
SRR13817267	PRJNA705721	SAMN18097352	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	male
SRR13817266	PRJNA705721	SAMN18097353	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	male
SRR13817265	PRJNA705721	SAMN18097354	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	male
SRR13817264	PRJNA705721	SAMN18097355	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	male
SRR13817263	PRJNA705721	SAMN18097356	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	female
SRR13817261	PRJNA705721	SAMN18097357	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	female
SRR13817260	PRJNA705721	SAMN18097358	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	male
SRR13817259	PRJNA705721	SAMN18097359	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	male
SRR13817258	PRJNA705721	SAMN18097360	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	male
SRR13817257	PRJNA705721	SAMN18097361	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	female
SRR13817256	PRJNA705721	SAMN18097362	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	female
SRR13817255	PRJNA705721	SAMN18097363	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	female
SRR13817254	PRJNA705721	SAMN18097364	Tursiops_aduncus		AustraliaWGS	Illumina_NovaSeq_6000	PAIRED	female
