NCBI_name,IUCN_category,Nucleotide_diversity_mean,Watterson_theta_mean,Pop_heterozygosity_mean,Froh_100kb
Acinonyx-jubatus,VU,0.000578579,0.000498504,0.00041426,0.143186612
Acomys-cahirinus,LC,0.000865147,0.000780863,0.00119757,0.018362517
Ailuropoda-melanoleuca,VU,0.00133652,0.000963949,0.00106683,0.199433673
Alces-alces,LC,0.000394492,0.00036728,0.000515106,0.041167189
Alouatta-palliata,EN,0.000334525,0.00029403,0.000297037,0.009196776
Antechinus-stuartii,LC,0.00300188,0.00291872,0.0029836,0.054236417
Camelus-ferus,CR,0.0010481,0.00116858,0.00137701,0.178357365
Canis-lupus-chanco,LC,0.002436,0.00227625,0.00195476,0.035652068
Canis-lupus-dingo,VU,0.000633473,0.000576991,0.000424709,0.273145731
Canis-lupus-lupus,LC,0.00137889,0.0011885,0.00168407,0.136221403
Canis-lupus-pallipes,LC,0.00172866,0.00143057,0.000944037,0.104326355
Capra-aegagrus,NT,0.00196546,0.00171426,0.00200862,0.148709584
Cebus-imitator,VU,0.000789091,0.000706106,0.00091701,0.091052245
Ceratotherium-simum-cottoni,CR,0.00175708,0.00226934,0.00220747,0.068038305
Cercopithecus-mona,NT,0.00303374,0.00293353,0.00337394,0.052118743
Cervus-canadensis,LC,0.00145681,0.00128183,0.00168599,0.048808739
Chlorocebus-sabaeus,LC,0.00191132,0.00143136,0.00188565,0.26958338
Crocuta-crocuta,LC,0.00210928,0.0020322,0.00192187,0.019656062
Daubentonia-madagascariensis,EN,0.000776796,0.000644539,0.00102207,0.126628278
Delphinapterus-leucas,CR,0.000681778,0.000661064,0.000774371,0.101824543
Dicerorhinus-sumatrensis,CR,0.00154411,0.00141758,0.00173206,0.091804789
Equus-przewalskii,EN,0.00125919,0.00116058,0.00117413,0.153021865
Giraffa-camelopardalis-antiquorum,CR,0.00154616,0.0014209,0.00162525,0.065744314
Giraffa-camelopardalis-peralta,VU,0.00138127,0.00118307,0.00145901,0.183282916
